,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,192.99472804069518,1.1111902976112895,0.004056072235107422,0.00041568232703941796,0.01,2,1,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 1}",0.08750813858332518,0.10846093289686265,0.07299109306635176,0.10824876390899862,0.10411923981828197,0.09626563365476404,0.013945593021408995,9
1,120.1775954246521,89.12583245771437,0.004062366485595703,0.0011203325350293192,0.01,2,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.7}",0.09489866438674777,0.10988653973042084,0.08274260054185156,0.11352828973644302,0.11004118202857105,0.10221945528480685,0.011668720408477442,1
2,10.740817451477051,1.1000101600543226,0.003193044662475586,0.00032733561926534776,0.01,2,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.4}",0.09446593774606193,0.10654366137720461,0.08188187768520716,0.11011133808865514,0.1122667020037873,0.10105390338018323,0.011391832862035637,3
3,7.934212303161621,0.7977199425866947,0.002950429916381836,0.0005732281986548156,0.01,2,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.1}",0.08037330083560978,0.09317764589360811,0.07669205979173654,0.09946528867958615,0.08509527185918742,0.0869607134119456,0.008334671870146956,24
4,15.38066554069519,2.2256533208341214,0.0036260128021240235,0.0008761123325884073,0.01,3,1,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1}",0.08312425454010763,0.10373484845131387,0.07931161845440882,0.10164561068162747,0.0942557567542317,0.0924144177763379,0.00974420941256566,17
5,14.903603839874268,1.533021542611245,0.0034905433654785155,0.00047644132874246644,0.01,3,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7}",0.09558190226321706,0.10953742306787495,0.08121738957234581,0.11323045184554303,0.10268068071961522,0.10044956949371922,0.0113533151314826,4
6,11.963471603393554,1.1140005997357816,0.0037107467651367188,0.0007871326037973364,0.01,3,0.4,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.4}",0.09627666100563492,0.10290578147288776,0.08296115542932847,0.11587678813730562,0.10780776323178343,0.10116562985538805,0.011125368730790525,2
7,10.360738801956177,1.2382185699533268,0.0038392066955566405,0.0005535494808837464,0.01,3,0.1,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.1}",0.08025070263860401,0.10363189945757456,0.07583945454194896,0.10433658368764953,0.07840359596748203,0.08849244725865182,0.012728308383367524,22
8,17.938447856903075,1.7299089958057117,0.005488967895507813,0.00048485735933781384,0.01,5,1,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1}",0.06718089538411309,0.0998585313598287,0.0703176887682726,0.09438163133713229,0.09185718393593767,0.08471918615705687,0.01333047938067829,28
9,16.815097427368165,1.0668883766037813,0.004273557662963867,0.0004821876180818859,0.01,5,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7}",0.07821105560933761,0.10198245192399125,0.07595133184216196,0.10645783968689593,0.09687956062717529,0.0918964479379124,0.012491034453898764,19
10,14.684360313415528,0.8973972705855081,0.004200887680053711,0.0005556978776988317,0.01,5,0.4,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.4}",0.0817880654416594,0.10668828803420427,0.07699076710005681,0.11667189634756481,0.09171643229977533,0.09477108984465213,0.014937835656039587,11
11,13.58444423675537,0.9267622798366812,0.004823732376098633,0.0003197692665659033,0.01,5,0.1,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.1}",0.06989580143345075,0.10220629420093852,0.0479832835016486,0.12020605315652544,0.061973748278598695,0.0804530361142324,0.026686066473316658,31
12,21.30160050392151,2.118316957160605,0.005757617950439453,0.0005341614979802958,0.01,7,1,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1}",0.05351438510187767,0.08303816613939285,0.042373616678286874,0.08968355515458093,0.0761827124312453,0.06895848710107673,0.018029036919500828,42
13,22.224934101104736,1.9337145865985808,0.005367088317871094,0.0008112721005508244,0.01,7,0.7,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.7}",0.06115003815365316,0.09433805464628542,0.053239634428398186,0.10744270137476375,0.08102680036905929,0.07943944579443196,0.020147471855445437,32
14,19.2684446811676,2.3149108608856075,0.004321670532226563,0.0007343895008069218,0.01,7,0.4,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.4}",0.056011373011408794,0.08989246498575909,0.06214119161108311,0.11712091057545426,0.0812457958005739,0.08128234719685583,0.021741867734053868,30
15,18.301221561431884,2.052560269806378,0.005944681167602539,0.0010808789352416692,0.01,7,0.1,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.1}",0.055013019076568415,0.09296428858595696,0.034716999599700094,0.10570311990386627,0.056731915349976236,0.0690258685032136,0.026240687662448445,41
16,28.804432725906373,1.3503313995771749,0.006305027008056641,0.0006049840396181309,0.01,9,1,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 1}",0.04798503448474567,0.07062103741127279,0.02664418073739694,0.0512651257269684,0.0832316907378543,0.05594941381964762,0.0195128150290342,56
17,26.521421957015992,3.486249029754302,0.00555877685546875,0.0006602188590652454,0.01,9,0.7,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.7}",0.046096045941201425,0.0892568995028461,0.039419147490644124,0.0981835284600161,0.05682313682839846,0.06595575164462124,0.023509900101899933,45
