,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.3827774047851564,1.394479850921833,0.002988910675048828,0.0004026806826552546,0.05,5,1,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1}",0.5345430284829549,0.45447941122281155,0.46396332615106595,0.4468645679965346,0.46902828698901167,0.4737757241684758,0.03133063870424972,4
1,3.9257452964782713,0.2990570206595754,0.003174161911010742,0.0005844720980039339,0.05,5,0.7,"{'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.7}",0.523776883549373,0.4570764174712739,0.4873979631368617,0.4704065260106446,0.4820872168668183,0.4841490014069943,0.022391767156159925,1
2,4.8596968173980715,0.23650914395600217,0.002895069122314453,0.0002915942229105503,0.05,6,1,"{'learning_rate': 0.05, 'max_depth': 6, 'subsample': 1}",0.5356358720211051,0.4527773677766105,0.443467309452264,0.44044308188197157,0.4561151805184248,0.4656877623300752,0.03544599575815895,10
3,4.734934854507446,0.10765506816798595,0.0029114246368408202,0.0002321561221100498,0.05,6,0.7,"{'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.7}",0.5227873696513943,0.45018881362041874,0.4847560781883813,0.4678935546173951,0.47831204048165477,0.4807875713118489,0.02403497451239969,2
4,6.762590789794922,0.26587679775387085,0.003227376937866211,0.000365865893782998,0.05,9,1,"{'learning_rate': 0.05, 'max_depth': 9, 'subsample': 1}",0.5218692273796207,0.4259115381378912,0.42271592259447055,0.40657918635568135,0.45524274877207904,0.44646372464794853,0.040841615967762514,15
5,6.536750268936157,0.42354947649803326,0.003496694564819336,0.0006254375723634279,0.05,9,0.7,"{'learning_rate': 0.05, 'max_depth': 9, 'subsample': 0.7}",0.5171594612612339,0.4404557155985638,0.48286440592004753,0.45530477063339203,0.46544467904357645,0.4722458064913628,0.026358508865596084,5
6,8.057041549682618,0.5663942594427674,0.003873252868652344,0.0008328340340466311,0.05,11,1,"{'learning_rate': 0.05, 'max_depth': 11, 'subsample': 1}",0.5185270398398862,0.40631182698586643,0.4753770781576989,0.4266827735956329,0.43330212634523757,0.45204016898486443,0.04012557371727187,13
7,7.872243642807007,0.274083984339684,0.004448127746582031,0.0002928398032954311,0.05,11,0.7,"{'learning_rate': 0.05, 'max_depth': 11, 'subsample': 0.7}",0.5246259502238366,0.44149200854145143,0.47101275144378174,0.442047685408538,0.44959491014325026,0.46575466115217157,0.03132191167142364,9
8,2.262503957748413,0.3074745520421831,0.003120613098144531,0.000474569205802052,0.1,5,1,"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1}",0.531066482902063,0.44824216410764617,0.4549681493075466,0.44988564593491975,0.4602372745324046,0.4688799433569161,0.03137547037282225,7
9,2.210204839706421,0.13207160827432754,0.0026246070861816405,0.0003428968662291583,0.1,5,0.7,"{'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7}",0.510889583249446,0.4422611442385689,0.469943091400874,0.4525906864304515,0.468047193793384,0.4687463398225448,0.023411299441493155,8
10,2.8454341888427734,0.12998544994692546,0.00302739143371582,0.0003884540790623977,0.1,6,1,"{'learning_rate': 0.1, 'max_depth': 6, 'subsample': 1}",0.5251958945383541,0.43855869856075447,0.46987247237221874,0.4584657929307372,0.4545726417145932,0.4693331000233316,0.02967819405512068,6
11,3.0030956745147703,0.22311279797509992,0.002944803237915039,0.0004418686236692282,0.1,6,0.7,"{'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.7}",0.5123321169631516,0.4462847754546081,0.48244119739446223,0.45972371775484033,0.4808269350408446,0.47632174852158143,0.022504245696039454,3
12,3.8754248142242433,0.22585326892102958,0.0029042243957519533,0.00046329797172131983,0.1,9,1,"{'learning_rate': 0.1, 'max_depth': 9, 'subsample': 1}",0.5159032633474532,0.4265559200528356,0.46771036595398474,0.45637840462909884,0.45146638248424376,0.46360286729352324,0.02940804786725379,11
13,3.7026787281036375,0.08316158298996221,0.003455495834350586,0.00024416845133275325,0.1,9,0.7,"{'learning_rate': 0.1, 'max_depth': 9, 'subsample': 0.7}",0.4780484428640488,0.4362945902948935,0.48715228030293833,0.4486624342249458,0.45189553379695213,0.4604106562967557,0.019069969281164695,12
14,4.735864877700806,0.1485113673671517,0.002409505844116211,0.00020061981492985122,0.1,11,1,"{'learning_rate': 0.1, 'max_depth': 11, 'subsample': 1}",0.49372048138511115,0.4038372480021729,0.4184931927711505,0.4181807969617931,0.4502234916746477,0.4368910421589751,0.03221318617721957,16
15,2.9709245204925536,0.8025183145011269,0.0019329071044921875,0.0003055940458858048,0.1,11,0.7,"{'learning_rate': 0.1, 'max_depth': 11, 'subsample': 0.7}",0.49271057929760254,0.4150782932580449,0.45872602414852326,0.43039731336006937,0.4426099839964287,0.44790443881213376,0.026596178145456974,14
