,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,23.30767092704773,0.6837077973946185,0.004240226745605469,0.0004634672571359758,0.01,2,1,1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 1}",0.4144342884125537,0.31310967902297704,0.42124920527060405,0.37083737219320956,0.3463784185711154,0.3732017926940919,0.04085295232312812,133
1,19.305521392822264,3.8078149964795975,0.004236793518066407,0.0023134373833782395,0.01,2,1,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.7}",0.4218465600185347,0.3166439510808603,0.4297823262618792,0.39318858893873565,0.35808648926407216,0.3839095831128164,0.04200266695928225,96
2,11.684522104263305,0.3381280081197714,0.002914285659790039,0.0003097592168885296,0.01,2,1,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.4}",0.40405803639286975,0.3142339583894064,0.42150904073900697,0.39495252535498315,0.3595600330020656,0.37886271877566635,0.038110011885937455,109
3,8.633359289169311,1.5817543173547761,0.0034604549407958986,0.0006716430612243584,0.01,2,1,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.1}",0.36881372515518385,0.28503670174731355,0.40050587537922233,0.3758179240504326,0.31380401517746814,0.34879564830192406,0.042648545171875205,196
4,19.404038667678833,1.1877435380336712,0.003920507431030273,0.000627522562756004,0.01,2,5,1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 1}",0.41366338455862295,0.3152352833964456,0.4196182896848726,0.3674710223290325,0.343866426502614,0.3719708812943175,0.04009383377392546,138
5,17.420849561691284,1.6304917456750752,0.003218841552734375,0.00041342819425235007,0.01,2,5,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.7}",0.4187081976483369,0.31680307366926674,0.4307706488304619,0.3936882359381949,0.3587561318171061,0.3837452575806733,0.041565297574406544,98
6,12.18938126564026,1.849331576232632,0.003400707244873047,0.0005120232154346408,0.01,2,5,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.4}",0.4122277065120282,0.3143807098064624,0.42145410501130365,0.3930976126678922,0.3573090446040269,0.37969383572034265,0.03936728938183781,106
7,8.247748851776123,1.5613888762434551,0.003393745422363281,0.00045114371195039836,0.01,2,5,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.1}",0.3730274080159285,0.2860479641389596,0.38987764715665596,0.37056030899521586,0.32109298095295,0.348121261851942,0.038603225058212474,199
8,19.815696954727173,0.33229939018385013,0.003926992416381836,0.0005821039289262092,0.01,2,10,1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 1}",0.41120558816830466,0.3146149317469564,0.43124681289439615,0.3669772068236846,0.3441160643081821,0.37363212078830477,0.04273109469646702,131
9,17.344781970977785,1.3602731101862495,0.0037298679351806642,0.0007065362225852152,0.01,2,10,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.7}",0.418719831386815,0.31759229589696114,0.43222868953471283,0.3928340317015343,0.3623961900692936,0.3847542077178634,0.04119071964221729,87
10,11.413635635375977,0.43840445480888474,0.0032120704650878905,0.0007767162926528296,0.01,2,10,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.4}",0.4037320071862768,0.3108133982675203,0.4210754571167109,0.3909038236214325,0.3602586811189157,0.3773566734621712,0.0387578749843926,119
11,8.219115734100342,0.9238184691087005,0.0038867473602294924,0.0004893286421916594,0.01,2,10,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.1}",0.3626537401636719,0.29736492330892816,0.3885563403011223,0.36544088495724447,0.3323066941502497,0.34926451657624324,0.031514850901260015,193
12,24.53742060661316,3.0253364598606183,0.004539299011230469,0.0010301967583734482,0.01,3,1,1,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1}",0.43881814234358496,0.3345034905854827,0.4464994803577722,0.39987654445585286,0.35887026599227123,0.3957135847469928,0.04372332575696286,29
13,18.071533536911012,2.7264168971932796,0.004070425033569336,0.0007779800059944509,0.01,3,1,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.7}",0.4429742158388654,0.32047966418178253,0.437888609709002,0.397370416942212,0.3740882345250254,0.3945602282393775,0.04502486533980554,36
14,13.063059425354004,0.8084210667642502,0.0030653953552246095,0.0004590792279329935,0.01,3,1,0.4,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.4}",0.4270757639875252,0.3267726454201837,0.44101441167895994,0.40882025528323196,0.3820873852028499,0.3971540923145501,0.04033779155828803,26
15,11.45319905281067,3.18157508339486,0.004380178451538086,0.0007934754912814935,0.01,3,1,0.1,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.1}",0.39074570963156063,0.2874653718187731,0.4168744791143312,0.3849110513576002,0.34098365659682484,0.364196053703818,0.04546520600064499,158
