,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,975.4561086654663,0.0344448407457676,0.0031861305236816407,0.0007998966509789705,0.01,2,1,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 1}",-0.03220726838627708,-0.08817060940153398,-0.15516126060417523,-0.09997686478682866,-0.06914865940023018,-0.08893293251580903,0.04029381950514492,85
1,588.5588271141053,473.7617372005952,0.0031213283538818358,0.000710621929866729,0.01,2,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.7}",-0.03228849329833405,-0.08829384663853124,-0.1551264567205195,-0.09938985648914112,-0.07018635245641369,-0.08905700112058793,0.04012801547416531,91
2,8.409902811050415,0.040436596447136326,0.011175584793090821,0.01809527191717352,0.01,2,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.4}",-0.031763972107486715,-0.08901546145727668,-0.1544803714222307,-0.09942021740466056,-0.06963466692758002,-0.08886293786384694,0.04011769010095877,79
3,8.690801954269409,0.14297099069375924,0.002455902099609375,0.0004456849099325383,0.01,2,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.1}",-0.03175196582189299,-0.08842293043157667,-0.15478821972870938,-0.10021886711796713,-0.0691249549642663,-0.0888613876128825,0.04031512026332351,73
4,8.482630348205566,0.24522211395794774,0.0023608684539794924,0.0002465601975003256,0.01,3,1,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1}",-0.03220726838627708,-0.08817060940153398,-0.15516126060417523,-0.09997686478682866,-0.06914865940023018,-0.08893293251580903,0.04029381950514492,85
5,8.39213695526123,0.02373244504583401,0.0023981571197509766,0.00039710698506800345,0.01,3,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7}",-0.03228849329833405,-0.08829384663853124,-0.1551264567205195,-0.09938985648914112,-0.07018635245641369,-0.08905700112058793,0.04012801547416531,91
6,7.7559350490570065,0.5271049266025427,0.0024575710296630858,0.00043016054346031024,0.01,3,0.4,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.4}",-0.031763972107486715,-0.08901546145727668,-0.1544803714222307,-0.09942021740466056,-0.06963466692758002,-0.08886293786384694,0.04011769010095877,79
7,7.306207227706909,0.07899576056931715,0.0028219699859619142,0.0004311002284973207,0.01,3,0.1,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.1}",-0.03175196582189299,-0.08842293043157667,-0.15478821972870938,-0.10021886711796713,-0.0691249549642663,-0.0888613876128825,0.04031512026332351,73
8,933.4251104354859,0.07720815976261376,0.0026230812072753906,0.0004323255343226126,0.01,5,1,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1}",-0.03220726838627708,-0.08817060940153398,-0.15516126060417523,-0.09997686478682866,-0.06914865940023018,-0.08893293251580903,0.04029381950514492,85
9,563.5174485683441,453.156564835109,0.0024834156036376955,0.00060385667057189,0.01,5,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7}",-0.03228849329833405,-0.08829384663853124,-0.1551264567205195,-0.09938985648914112,-0.07018635245641369,-0.08905700112058793,0.04012801547416531,91
10,8.547120523452758,0.15032398636027888,0.003190422058105469,0.000676250091276122,0.01,5,0.4,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.4}",-0.031763972107486715,-0.08901546145727668,-0.1544803714222307,-0.09942021740466056,-0.06963466692758002,-0.08886293786384694,0.04011769010095877,79
11,8.727693510055541,0.08202464972459865,0.0027836322784423827,0.00077387627831487,0.01,5,0.1,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.1}",-0.03175196582189299,-0.08842293043157667,-0.15478821972870938,-0.10021886711796713,-0.0691249549642663,-0.0888613876128825,0.04031512026332351,73
12,8.852271842956544,0.5158110148171501,0.0023295402526855467,0.00022874204022172652,0.01,7,1,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1}",-0.03220726838627708,-0.08817060940153398,-0.15516126060417523,-0.09997686478682866,-0.06914865940023018,-0.08893293251580903,0.04029381950514492,85
13,9.87668218612671,0.03897287227820828,0.002700328826904297,0.0006605028967367071,0.01,7,0.7,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.7}",-0.03228849329833405,-0.08829384663853124,-0.1551264567205195,-0.09938985648914112,-0.07018635245641369,-0.08905700112058793,0.04012801547416531,91
14,8.465008211135864,1.170155460766174,0.0023752689361572266,0.0005856860316287935,0.01,7,0.4,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.4}",-0.031763972107486715,-0.08901546145727668,-0.1544803714222307,-0.09942021740466056,-0.06963466692758002,-0.08886293786384694,0.04011769010095877,79
15,7.502475166320801,0.061690714805570486,0.00230712890625,0.0003498457229692076,0.01,7,0.1,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.1}",-0.03175196582189299,-0.08842293043157667,-0.15478821972870938,-0.10021886711796713,-0.0691249549642663,-0.0888613876128825,0.04031512026332351,73
16,1047.1014471530914,0.09593218422659597,0.0027295589447021485,0.00025270239722291596,0.01,9,1,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 1}",-0.03220726838627708,-0.08817060940153398,-0.15516126060417523,-0.09997686478682866,-0.06914865940023018,-0.08893293251580903,0.04029381950514492,85
