,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,9.02783842086792,0.035274573718454695,0.00260009765625,0.0003137929297841424,0.01,2,1,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 1}",-31.81440094773417,-24.79502360708478,-27.216252319559672,-24.570575242183764,-29.250992602744383,-27.529448943861354,2.744253409410032,73
1,8.679472970962525,0.48414756724838043,0.0029288291931152343,0.0004817305912388286,0.01,2,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.7}",-31.95226394826885,-24.90234164113462,-27.309078949453394,-24.15181221178174,-29.348244872865372,-27.532748324700794,2.87151327259245,79
2,8.078950500488281,0.07160763947416411,0.0031423568725585938,0.0007177160387450298,0.01,2,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.4}",-31.61307327991438,-24.640861776904185,-27.54917911852692,-24.35951263473641,-29.588145345236082,-27.550154431063596,2.803743793924367,85
3,8.098355531692505,0.07844207385126521,0.0028795242309570313,0.0007441530926746377,0.01,2,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'subsample': 0.1}",-34.90980822302652,-27.24236198864713,-29.902454542888893,-26.458102384673285,-32.102910945592726,-30.12312761696571,3.118068967069606,91
4,8.158220911026001,0.2090727878429693,0.0024372100830078124,0.00023286554382062825,0.01,3,1,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1}",-31.81440094773417,-24.79502360708478,-27.216252319559672,-24.570575242183764,-29.250992602744383,-27.529448943861354,2.744253409410032,73
5,8.610646390914917,0.019729325383261928,0.0030538558959960936,0.00033154088128606237,0.01,3,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7}",-31.95226394826885,-24.90234164113462,-27.309078949453394,-24.15181221178174,-29.348244872865372,-27.532748324700794,2.87151327259245,79
6,7.833699178695679,0.6261765747618957,0.0023162364959716797,0.0004946076027425643,0.01,3,0.4,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.4}",-31.61307327991438,-24.640861776904185,-27.54917911852692,-24.35951263473641,-29.588145345236082,-27.550154431063596,2.803743793924367,85
7,7.363720560073853,0.058592204050410934,0.002293682098388672,0.0005135821447003491,0.01,3,0.1,"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.1}",-34.90980822302652,-27.24236198864713,-29.902454542888893,-26.458102384673285,-32.102910945592726,-30.12312761696571,3.118068967069606,91
8,9.020323181152344,0.04700367337287098,0.002597618103027344,0.00036859232887896556,0.01,5,1,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1}",-31.81440094773417,-24.79502360708478,-27.216252319559672,-24.570575242183764,-29.250992602744383,-27.529448943861354,2.744253409410032,73
9,8.639777040481567,0.5373780961174375,0.002593803405761719,0.00033570038316704613,0.01,5,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7}",-31.95226394826885,-24.90234164113462,-27.309078949453394,-24.15181221178174,-29.348244872865372,-27.532748324700794,2.87151327259245,79
10,8.04454836845398,0.04564263327284155,0.0025133132934570313,0.0005381885192620846,0.01,5,0.4,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.4}",-31.61307327991438,-24.640861776904185,-27.54917911852692,-24.35951263473641,-29.588145345236082,-27.550154431063596,2.803743793924367,85
11,8.02671546936035,0.05325587486053802,0.002522897720336914,0.0003065132619938445,0.01,5,0.1,"{'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.1}",-34.90980822302652,-27.24236198864713,-29.902454542888893,-26.458102384673285,-32.102910945592726,-30.12312761696571,3.118068967069606,91
12,8.154113149642944,0.1841852149590752,0.002258968353271484,0.00033589173681390573,0.01,7,1,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 1}",-31.81440094773417,-24.79502360708478,-27.216252319559672,-24.570575242183764,-29.250992602744383,-27.529448943861354,2.744253409410032,73
13,8.654851293563842,0.04343168338816484,0.0025627613067626953,0.0003751257345643317,0.01,7,0.7,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.7}",-31.95226394826885,-24.90234164113462,-27.309078949453394,-24.15181221178174,-29.348244872865372,-27.532748324700794,2.87151327259245,79
14,7.888595247268677,0.6365763246889931,0.002543354034423828,0.00035994224629419145,0.01,7,0.4,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.4}",-31.61307327991438,-24.640861776904185,-27.54917911852692,-24.35951263473641,-29.588145345236082,-27.550154431063596,2.803743793924367,85
15,7.385951232910156,0.08135089552146778,0.0025768280029296875,0.0004192947648272602,0.01,7,0.1,"{'learning_rate': 0.01, 'max_depth': 7, 'subsample': 0.1}",-34.90980822302652,-27.24236198864713,-29.902454542888893,-26.458102384673285,-32.102910945592726,-30.12312761696571,3.118068967069606,91
16,8.980048751831054,0.07227659439094461,0.002473258972167969,0.000460508793017394,0.01,9,1,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 1}",-31.81440094773417,-24.79502360708478,-27.216252319559672,-24.570575242183764,-29.250992602744383,-27.529448943861354,2.744253409410032,73
17,8.629601383209229,0.49868564501417545,0.002499961853027344,0.0001926817239710353,0.01,9,0.7,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.7}",-31.95226394826885,-24.90234164113462,-27.309078949453394,-24.15181221178174,-29.348244872865372,-27.532748324700794,2.87151327259245,79
18,8.060249137878419,0.04536477300822507,0.002175140380859375,0.00015669070722566805,0.01,9,0.4,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.4}",-31.61307327991438,-24.640861776904185,-27.54917911852692,-24.35951263473641,-29.588145345236082,-27.550154431063596,2.803743793924367,85
19,8.066239356994629,0.0693840489365284,0.002510690689086914,0.000472755693383115,0.01,9,0.1,"{'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.1}",-34.90980822302652,-27.24236198864713,-29.902454542888893,-26.458102384673285,-32.102910945592726,-30.12312761696571,3.118068967069606,91
20,8.238844966888427,0.19118572256894445,0.002532291412353516,0.0004984385543237719,0.01,11,1,"{'learning_rate': 0.01, 'max_depth': 11, 'subsample': 1}",-31.81440094773417,-24.79502360708478,-27.216252319559672,-24.570575242183764,-29.250992602744383,-27.529448943861354,2.744253409410032,73
