,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,22.374329996109008,0.6277250331449157,0.005404186248779297,0.0010118462857358985,0.01,2,1,1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 1}",0.4628372797743934,0.46393212368545766,0.46225641363410164,0.4905557185159045,0.45469380181545505,0.4668550674850625,0.012291875998049566,134
1,21.560178661346434,2.284104946006931,0.004328536987304688,0.0005914013372658091,0.01,2,1,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.7}",0.4676827125739812,0.47154259622525374,0.4636457118601317,0.5074337485721816,0.4548276166492712,0.47302647717616386,0.0180765888934334,83
2,18.856824731826784,0.6088263244564958,0.004538249969482422,0.0007071073574847855,0.01,2,1,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.4}",0.4621852011850709,0.4725580749565105,0.4648045547870798,0.5057036860642701,0.445897011909298,0.47022970578044576,0.01974867534145024,97
3,17.40475425720215,0.7591620504124513,0.004807043075561524,0.0005548403573228308,0.01,2,1,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.1}",0.44420865268156495,0.45811323306203533,0.4653723056260881,0.48406505552787915,0.43501398644258704,0.4573546466680309,0.017030716409746665,182
4,20.772199058532713,1.929052755477259,0.005223512649536133,0.000821374766916094,0.01,2,5,1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 1}",0.46451312998309957,0.4645719916581963,0.4649669651938243,0.49118850178090145,0.4523991400965238,0.4675279457425091,0.012752161168228643,130
5,23.588863801956176,1.0222916274928346,0.004446601867675782,0.0009772644951770626,0.01,2,5,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.7}",0.46599165211959126,0.4732128810341282,0.4646362706787204,0.5105555498221309,0.4560254104062088,0.474084352812156,0.019035709262967868,75
6,18.4802077293396,3.4091025865691096,0.0038811206817626954,0.0002687752441824529,0.01,2,5,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.4}",0.4627835869216961,0.4737324188011771,0.46497731052794034,0.5083921862388403,0.4497625287258984,0.47192960624311037,0.019779450365758237,88
7,15.04440484046936,0.510302085096228,0.004096269607543945,0.00041110611761000903,0.01,2,5,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.1}",0.45469773417272963,0.46440928180961816,0.4620886697435662,0.48178668532296454,0.4471128477328561,0.4620190437563469,0.011595464568059108,158
8,24.13598041534424,0.8234232110495617,0.005898666381835937,0.0005703134359018725,0.01,2,10,1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 1}",0.4603772342729635,0.46711332271607586,0.46664152723539676,0.48808670386517183,0.45331994586120605,0.46710774679016287,0.0116252938450603,132
9,22.486270475387574,2.3465946817253216,0.004807376861572265,0.0010115962316384155,0.01,2,10,0.7,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.7}",0.4663058191483477,0.47219563323767466,0.4636826758152075,0.5086201194613905,0.45605831356111803,0.4733725122447477,0.018370582005490056,79
10,18.964632558822633,0.7611869125798625,0.0040668010711669925,0.0005640867212728494,0.01,2,10,0.4,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.4}",0.46467764461582794,0.47408476652153253,0.4674262841922481,0.5077473207552385,0.4513674526807957,0.47306069375312854,0.01885115174189089,81
11,17.50809450149536,0.3899708644036903,0.0035166263580322264,0.0004667090888290134,0.01,2,10,0.1,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.1}",0.45147749840216067,0.4699807226829321,0.4653155003238081,0.471703524557862,0.44796253442714884,0.46128795607878237,0.00973736424953763,163
12,23.600494813919067,1.503688250615284,0.005623149871826172,0.0007950955761160931,0.01,3,1,1,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1}",0.4764202429425419,0.47742571964747604,0.47184803009349496,0.5069668187598282,0.4604161717729659,0.47861539664326147,0.015408090102633198,46
13,25.688480138778687,1.3393396736107175,0.006207036972045899,0.0017471370178967713,0.01,3,1,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.7}",0.4791928315483791,0.4817046131267626,0.4688409999707953,0.5171052640710567,0.4613420461161448,0.48163715096662774,0.019181235919253393,22
14,22.310430192947386,2.8457015191442037,0.004791164398193359,0.0005385409630936442,0.01,3,1,0.4,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.4}",0.470509801889083,0.4818509153873921,0.47045141456595385,0.5137464626544179,0.4489527478219979,0.4771022684637689,0.021191680447558453,60
15,18.764264583587646,0.6076614413996154,0.004990434646606446,0.0011342236583778524,0.01,3,1,0.1,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.1}",0.44948470242427574,0.4656782759541658,0.46196568971753404,0.47413732135000886,0.43274224148183116,0.4568016461855631,0.014410969126050588,185
